teamstatspk,Team,games_played,wins,losses,win_percentage,Min,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,blocks_attempted,personal_fouls,personal_fouls_drawn,%_points_3,%_points_2,%_points_ft,AST/TO,eFG%,plus_minus,season
0,Boston Celtics,82,64,18,0.78,3966,9887,3601,7396,48.7,1351,3482,38.8,1334,1654,80.7,876,2923,3799,2207,979,557,538,304,1326,1416,0.409932234,0.455143117,0.134924649,2.254341164,0.578217956,930,2023-24
1,Denver Nuggets,82,57,25,0.695,3941,9418,3610,7279,49.6,958,2560,37.4,1240,1628,76.2,881,2762,3643,2415,1036,585,456,394,1489,1467,0.305160331,0.563176895,0.131662773,2.331081081,0.561752988,431,2023-24
2,Oklahoma City Thunder,82,57,25,0.695,3961,9847,3653,7324,49.9,1090,2805,38.9,1451,1759,82.5,722,2725,3447,2223,1039,694,538,419,1545,1548,0.332080837,0.520564639,0.147354524,2.139557267,0.573184052,608,2023-24
3,Minnesota Timberwolves,82,56,26,0.683,3961,9264,3383,6974,48.5,1037,2681,38.7,1461,1881,77.7,770,2807,3577,2184,1162,647,497,371,1544,1630,0.335816062,0.506476684,0.157707254,1.879518072,0.559435044,529,2023-24
4,LA Clippers,82,51,31,0.622,3941,9481,3473,7108,48.9,1036,2719,38.1,1499,1817,82.5,822,2701,3523,2097,1078,640,413,384,1519,1537,0.327813522,0.514080793,0.158105685,1.945269017,0.561480023,269,2023-24
5,Dallas Mavericks,82,50,32,0.61,3941,9664,3535,7352,48.1,1197,3242,36.9,1397,1842,75.8,797,2724,3521,2106,1027,563,406,331,1500,1667,0.371585265,0.483857616,0.144557119,2.050632911,0.562227965,181,2023-24
6,New York Knicks,82,50,32,0.61,3946,9249,3385,7272,46.5,1083,2936,36.9,1396,1789,78,1039,2665,3704,1998,1085,612,336,431,1447,1565,0.35128122,0.497783544,0.150935236,1.841474654,0.539947745,376,2023-24
7,Milwaukee Bucks,82,49,33,0.598,3961,9756,3538,7258,48.7,1163,3122,37.3,1517,1960,77.4,772,2850,3622,2176,1059,558,413,347,1574,1576,0.357626076,0.486879869,0.155494055,2.05476865,0.567580601,215,2023-24
8,New Orleans Pelicans,82,49,33,0.598,3941,9436,3484,7165,48.6,1023,2673,38.3,1445,1873,77.1,852,2753,3605,2210,1067,684,378,424,1508,1506,0.325243747,0.52161933,0.153136922,2.071227741,0.557641312,362,2023-24
9,Phoenix Suns,82,49,33,0.598,3956,9532,3482,7063,49.3,1020,2671,38.2,1548,1915,80.8,831,2783,3614,2218,1221,610,492,372,1475,1612,0.321023919,0.516575745,0.162400336,1.816543817,0.565198924,251,2023-24
10,Cleveland Cavaliers,82,48,34,0.585,3961,9236,3425,7148,47.9,1108,3016,36.7,1278,1671,76.5,808,2742,3550,2299,1112,605,380,410,1436,1536,0.359896059,0.501732352,0.138371589,2.067446043,0.556659205,198,2023-24
11,Indiana Pacers,82,47,35,0.573,3941,10110,3855,7599,50.7,1082,2891,37.4,1318,1685,78.2,827,2578,3405,2522,1059,631,481,440,1756,1501,0.321068249,0.548565776,0.130365974,2.381491974,0.578497171,250,2023-24
12,Los Angeles Lakers,82,47,35,0.573,3971,9679,3580,7177,49.9,969,2572,37.7,1550,1983,78.2,676,2859,3535,2339,1146,605,453,390,1283,1619,0.300340944,0.539518545,0.16014051,2.041012216,0.566322976,49,2023-24
13,Orlando Magic,82,47,35,0.573,3956,9058,3318,6964,47.6,903,2568,35.2,1519,2002,75.9,861,2608,3469,2023,1206,669,423,379,1618,1710,0.299072643,0.533230294,0.167697063,1.677446103,0.541283745,166,2023-24
14,Philadelphia 76ers,82,47,35,0.573,3956,9397,3404,7331,46.4,992,2733,36.3,1597,1934,82.6,906,2616,3522,2041,984,694,492,503,1668,1519,0.316696818,0.513355326,0.169947856,2.074186992,0.531987451,250,2023-24
15,Golden State Warriors,82,46,36,0.561,3966,9657,3582,7515,47.7,1211,3191,38,1282,1644,78,996,2834,3830,2402,1174,572,377,407,1598,1471,0.37620379,0.491042767,0.132753443,2.045996593,0.557218896,214,2023-24
16,Miami Heat,82,46,36,0.561,3951,9032,3266,7022,46.5,1022,2765,37,1478,1806,81.8,766,2702,3468,2116,1038,617,280,388,1415,1550,0.339459699,0.496899911,0.16364039,2.038535645,0.537880946,144,2023-24
17,Sacramento Kings,82,46,36,0.561,3971,9558,3553,7455,47.7,1178,3219,36.6,1274,1710,74.5,888,2719,3607,2324,1078,625,342,370,1632,1504,0.369742624,0.496965892,0.133291484,2.155844156,0.555600268,143,2023-24
18,Houston Rockets,82,41,41,0.5,3971,9375,3425,7459,45.9,1043,2964,35.2,1482,1916,77.3,940,2787,3727,2035,1045,639,375,482,1702,1609,0.33376,0.50816,0.15808,1.947368421,0.529092372,92,2023-24
19,Chicago Bulls,82,39,43,0.476,3996,9206,3448,7339,47,941,2630,35.8,1369,1731,79.1,916,2677,3593,2048,1004,638,394,404,1541,1538,0.306647838,0.544644797,0.148707365,2.039840637,0.533928328,-118,2023-24
20,Atlanta Hawks,82,36,46,0.439,3971,9703,3529,7584,46.5,1125,3092,36.4,1520,1906,79.7,1024,2639,3663,2180,1110,615,369,461,1522,1594,0.347830568,0.49551685,0.156652582,1.963963964,0.539491034,-179,2023-24
21,Brooklyn Nets,82,32,50,0.39,3961,9050,3334,7307,45.6,1089,3010,36.2,1293,1711,75.6,938,2675,3613,2102,1076,556,424,409,1516,1496,0.360994475,0.496132597,0.142872928,1.953531599,0.530792391,-237,2023-24
22,Utah Jazz,82,31,51,0.378,3961,9484,3443,7371,46.7,1060,2993,35.4,1538,1853,83,1002,2725,3727,2232,1285,537,458,528,1523,1577,0.335301561,0.502530578,0.162167862,1.736964981,0.539004206,-401,2023-24
23,Memphis Grizzlies,82,27,55,0.329,3956,8677,3145,7229,43.5,1071,3097,34.6,1316,1722,76.4,896,2598,3494,2025,1236,673,501,535,1563,1539,0.37028927,0.478045407,0.151665322,1.638349515,0.509129893,-574,2023-24
24,Toronto Raptors,82,25,57,0.305,3961,9213,3466,7356,47.1,942,2712,34.7,1339,1772,75.6,891,2607,3498,2335,1147,634,388,474,1509,1487,0.306740475,0.547921415,0.145338109,2.035745423,0.535209353,-528,2023-24
25,San Antonio Spurs,82,22,60,0.268,3966,9192,3438,7436,46.2,1036,2983,34.7,1280,1637,78.2,849,2778,3627,2449,1242,584,520,380,1414,1470,0.338120104,0.522628372,0.139251523,1.971819646,0.532006455,-532,2023-24
26,Charlotte Hornets,82,21,61,0.256,3946,8740,3281,7133,46,989,2788,35.5,1189,1512,78.6,765,2538,3303,2033,1129,562,371,396,1472,1432,0.339473684,0.524485126,0.13604119,1.800708592,0.529300435,-840,2023-24
27,Portland Trail Blazers,82,21,61,0.256,3976,8722,3227,7356,43.9,939,2723,34.5,1329,1680,79.1,1036,2469,3505,1894,1249,627,354,528,1654,1467,0.322976382,0.52465031,0.152373309,1.516413131,0.502514954,-740,2023-24
28,Washington Wizards,82,15,67,0.183,3946,9327,3523,7493,47,1015,2915,34.8,1266,1657,76.4,755,2613,3368,2290,1147,623,415,496,1637,1473,0.326471534,0.537793503,0.135734963,1.996512642,0.537902042,-762,2023-24
29,Detroit Pistons,82,14,68,0.171,3951,9010,3353,7236,46.3,906,2602,34.8,1398,1780,78.5,861,2692,3553,2088,1248,531,384,490,1688,1457,0.301664817,0.543174251,0.155160932,1.673076923,0.525981205,-747,2023-24
30,Milwaukee Bucks,82,58,24,0.707,3966,9589,3504,7411,47.3,1217,3306,36.8,1364,1837,74.3,914,3074,3988,2115,1199,521,403,323,1480,1557,0.380748775,0.477004901,0.142246324,1.763969975,0.554918365,298,2022-23
31,Boston Celtics,82,57,25,0.695,3996,9671,3460,7278,47.5,1315,3492,37.7,1436,1769,81.2,796,2921,3717,2186,1095,521,430,318,1542,1568,0.407920587,0.443594251,0.148485162,1.996347032,0.565746084,535,2022-23
32,Philadelphia 76ers,82,54,28,0.659,3976,9448,3347,6870,48.7,1035,2675,38.7,1719,2058,83.5,715,2641,3356,2063,1121,635,389,380,1675,1607,0.328640982,0.489415749,0.181943268,1.840321142,0.562518195,354,2022-23
33,Denver Nuggets,82,53,29,0.646,3951,9495,3574,7088,50.4,969,2559,37.9,1378,1834,75.1,828,2699,3527,2368,1192,618,368,344,1525,1601,0.306161137,0.548709847,0.145129015,1.986577181,0.572587472,273,2022-23
34,Cleveland Cavaliers,82,51,31,0.622,3976,9205,3408,6984,48.8,950,2589,36.7,1439,1844,78,795,2574,3369,2045,1094,586,384,360,1560,1675,0.30961434,0.534057577,0.156328083,1.86928702,0.555985109,441,2022-23
35,Memphis Grizzlies,82,51,31,0.622,3956,9587,3585,7551,47.5,985,2807,35.1,1432,1954,73.3,988,2835,3823,2135,1116,680,473,427,1643,1644,0.308229895,0.542401168,0.149368937,1.913082437,0.539994703,323,2022-23
36,Sacramento Kings,82,48,34,0.585,3966,9898,3573,7232,49.4,1128,3060,36.9,1624,2055,79,782,2699,3481,2237,1106,574,275,341,1616,1711,0.34188725,0.4940392,0.16407355,2.022603978,0.572040929,217,2022-23
37,New York Knicks,82,47,35,0.573,3991,9514,3444,7328,47,1037,2930,35.4,1589,2087,76.1,1031,2790,3821,1880,1065,527,340,370,1666,1694,0.326991802,0.505991171,0.167017028,1.765258216,0.54073417,240,2022-23
38,Brooklyn Nets,82,45,37,0.549,3946,9295,3399,6978,48.7,1048,2771,37.8,1449,1811,80,674,2648,3322,2093,1127,585,506,317,1730,1517,0.338246369,0.505863367,0.155890264,1.857142857,0.562195471,70,2022-23
39,Phoenix Suns,82,45,37,0.549,3956,9319,3453,7388,46.7,1001,2674,37.4,1412,1781,79.3,971,2657,3628,2235,1110,585,432,327,1739,1629,0.322244876,0.526236721,0.151518403,2.013513514,0.535124526,170,2022-23
40,Golden State Warriors,82,44,38,0.537,3966,9753,3538,7393,47.9,1363,3540,38.5,1314,1655,79.4,864,2793,3657,2446,1336,588,324,326,1756,1510,0.419255614,0.44601661,0.134727776,1.830838323,0.570742594,148,2022-23
41,LA Clippers,82,44,38,0.537,3966,9314,3370,7060,47.7,1041,2734,38.1,1533,1962,78.1,803,2742,3545,1959,1167,580,364,344,1598,1606,0.335301696,0.500107365,0.164590938,1.678663239,0.551062323,41,2022-23
42,Miami Heat,82,44,38,0.537,3961,8977,3215,6991,46,980,2852,34.4,1567,1885,83.1,796,2533,3329,1955,1106,655,243,309,1516,1643,0.32750362,0.497939178,0.174557202,1.767631103,0.529967101,-26,2022-23
43,Los Angeles Lakers,82,43,39,0.524,3976,9608,3516,7298,48.2,885,2558,34.6,1691,2182,77.5,818,2930,3748,2072,1154,526,378,416,1466,1760,0.276332223,0.547668609,0.175999167,1.795493934,0.542408879,47,2022-23
44,Minnesota Timberwolves,82,42,40,0.512,3966,9494,3515,7167,49,997,2731,36.5,1467,1942,75.5,749,2686,3435,2145,1258,657,444,336,1768,1654,0.315041079,0.530440278,0.154518643,1.70508744,0.559997209,-3,2022-23
45,New Orleans Pelicans,82,42,40,0.512,3971,9378,3447,7180,48,899,2468,36.4,1585,2000,79.3,866,2717,3583,2122,1196,681,337,386,1678,1673,0.287587972,0.543399446,0.169012583,1.774247492,0.542688022,155,2022-23
46,Atlanta Hawks,82,41,41,0.5,3971,9711,3658,7574,48.3,882,2505,35.2,1513,1850,81.8,920,2719,3639,2049,1060,580,401,414,1541,1612,0.272474513,0.571722789,0.155802698,1.933018868,0.541193557,24,2022-23
47,Toronto Raptors,82,41,41,0.5,3961,9254,3434,7489,45.9,880,2626,33.5,1506,1922,78.4,1043,2485,3528,1961,956,772,424,376,1641,1604,0.28528204,0.551977523,0.162740437,2.05125523,0.517292028,121,2022-23
48,Chicago Bulls,82,40,42,0.488,3981,9276,3488,7116,49,854,2367,36.1,1446,1788,80.9,694,2779,3473,2006,1097,644,371,389,1551,1537,0.276196636,0.567917206,0.155886158,1.828623519,0.550168634,106,2022-23
49,Oklahoma City Thunder,82,40,42,0.488,3971,9633,3533,7590,46.5,995,2797,35.6,1572,1944,80.9,934,2646,3580,2002,1070,676,341,454,1722,1675,0.309872314,0.526938648,0.163189038,1.871028037,0.531027668,89,2022-23
50,Dallas Mavericks,82,38,44,0.463,3986,9366,3283,6909,47.5,1246,3362,37.1,1554,2057,75.5,625,2556,3181,1880,1002,514,304,312,1697,1789,0.399103139,0.434977578,0.165919283,1.876247505,0.565349544,6,2022-23
51,Utah Jazz,82,37,45,0.451,3961,9600,3485,7365,47.3,1094,3099,35.3,1536,1955,78.6,968,2794,3762,2129,1259,500,429,405,1679,1678,0.341875,0.498125,0.16,1.691024623,0.547454175,-77,2022-23
52,Indiana Pacers,82,35,47,0.427,3951,9535,3444,7345,46.9,1112,3030,36.7,1535,1944,79,832,2575,3407,2213,1224,631,478,438,1741,1660,0.349868904,0.489145254,0.160985842,1.808006536,0.544588155,-261,2022-23
53,Washington Wizards,82,35,47,0.427,3951,9279,3456,7127,48.5,925,2601,35.6,1442,1838,78.5,774,2804,3578,2083,1158,561,424,406,1539,1590,0.299062399,0.545532924,0.155404677,1.798791019,0.549810579,-99,2022-23
54,Orlando Magic,82,34,48,0.415,3956,9136,3323,7074,47,883,2551,34.6,1607,2050,78.4,833,2713,3546,1906,1236,603,382,415,1652,1681,0.289951839,0.534150613,0.175897548,1.542071197,0.532160023,-210,2022-23
